url,in_swdb,SITE_URL,num_site_ids,account_ids,site_ids
indiabulls.com,True,indiabulls.com,781.0,21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;18169836;21306824;21306824;21306824;21306824;15672334;14116425;21306824;21306824;21306824;21306824;6243764;21306824;18867175;21306824;21306824;21306824;20801450;21306824;18867175;18867175;18867175;21306824;21306824;21306824;21306824;21306824;18199204;21306824;18867175;21306824;18867175;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;18867175;18867175;21306824;14116425;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;14116425;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;18867175;21306824;18867175;21306824;18867175;15672334;21306824;21306824;21306824;21306824;13457790;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;14116425;21306824;21306824;18867175;18867175;21306824;21306824;21306824;18867175;21306824;6243764;21306824;21306824;18867175;21306824;6243764;21306824;21306824;21306824;21306824;17226076;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;6243764;21306824;21306824;18867175;21306824;21306824;21306824;20399753;21306824;21306824;21306824;18867175;21306824;18867175;18867175;21306824;21306824;21306824;21306824;16183902;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;27476747;16183902;21306824;21306824;18867175;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;6243764;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;18867175;18867175;21306824;21306824;18867175;18867175;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;18867175;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;15444862;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;6243764;21306824;18867175;18867175;21306824;15190966;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;18867175;21306824;18867175;20707381;21306824;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;18867175;21306824;18867175;15692314;21306824;21306824;18867175;21306824;21306824;18867175;18867175;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;16045542;21306824;21306824;18867175;21306824;18169836;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;14365635;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;21306824;27476749;18867175;18867175;21306824;18867175;21306824;15501476;21306824;21306824;18867175;18867175;18867175;21306824;21306824;19014084;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;15097806;21306824;18867175;21306824;18867175;21306824;21306824;19378799;14116425;18867175;21306824;18867175;21306824;21306824;21306824;21306824;18867175;21306824;18867175;21306824;21306824;21306824;21306824;16183902;18867175;21306824;18867175;18867175;21306824;21306824;14116425;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;16183902;21306824;18867175;21306824;18867175;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;6243764;21306824;18867175;21306824;18867175;18867175;18867175;21306824;18169836;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;18867175;18867175;18867175;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;18867175;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;23049459;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;15190966;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;14116425;21306824;21306824;16183902;18867175;21306824;21306824;18867175;18867175;21306824;21306824;19015155;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;13457790;18867175;18867175;21306824;6243764;21306824;18867175;21306824;21306824;21306824;14116425;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;16183902;21306824;21306824;21306824;6243764;21306824;21306824;18867175;15396809;21306824;21306824;18867175;21306824;21306824;6243764;20952504;21306824;21306824;21306824;21306824;21306824;21306824;21306824;21306824;18867175;18867175;21306824;21306824;18867175;21306824;18867175;21306824;21306824;21306824;18867175;21306824;21306824;6263317;21306824;21306824;21306824;21306824;21306824;18867175;21306824;21306824;27476747;21306824;21306824;18867175;21306824;21306824;16045542;16183902;21306824;21306824;21306824;18867175;19184691;21306824;18867175;21306824;21306824;21306824;21306824;21306824,179860131;179860393;179860315;179860464;179860263;179860250;179860160;179860384;179860527;179860221;182173173;179860494;179860103;179860503;180336083;179860109;182181839;179860255;179833660;179860421;182187053;179860413;179860319;179860271;179860068;182671841;179860148;39106086;179860256;32786902;179860143;179860564;180209384;179860242;37475132;34782628;179860411;179860321;179860446;179860471;39095027;179860088;37475834;179860071;179860329;179860214;29992118;179860172;38787905;37701665;38387371;179860141;179860356;179860517;179860495;179860525;29974700;38184136;32868960;179860534;38713908;179860293;39095111;182173745;179860151;27546729;32513763;179860207;179860492;182152690;182186715;179860428;37880232;35924168;179860083;35043613;179860528;179860235;179860460;179860265;179860444;179860086;38386250;179860254;38791022;179860059;179860246;34015597;179860397;179860537;179860351;179860189;179860100;179860521;179860264;179860544;179860097;179860383;182676448;179860197;182153413;179860069;33580035;179860360;179860392;179860102;179860422;179860237;179860290;179860431;179860101;179860473;38487322;179860437;29527552;39167870;179860508;175139277;180324284;38184155;38585524;179860339;179860507;179860451;179860179;27382665;179952793;179860243;32594241;179860072;179860104;179860511;179860183;179860409;179860539;179860194;179952794;179860222;179860253;179860158;180210131;179860241;179860370;38689916;38079757;179860165;179860396;179860266;175139242;179860372;182175976;179860177;179860359;34663858;182150223;37573708;179860176;179860295;179860296;179860074;27375341;182165465;179860073;180190733;38588580;180378481;179860195;179860116;179860099;179860324;179860115;179860236;179860112;39091997;179860490;38889734;182173654;179860135;33962475;179860245;179860458;182173056;29936112;179860447;179860502;179860407;39095081;179860122;38791032;182167478;179860150;179860405;179860553;179860439;32950182;179860448;182154230;179860061;180253466;179860408;179860098;179860065;37779651;38112773;179860381;179860210;179860239;37910227;182149604;179860558;179860281;179860318;179860442;179860280;179860178;37981863;179860186;179860156;179860412;182149736;33032819;179860482;179860149;182186660;179860064;182169075;182154340;179860258;179860181;179860079;179860435;179860289;179860355;38286340;179860326;179860343;179860462;179860506;38993844;37779643;179860205;180158313;179860486;179860277;179860193;180202163;179860227;179860418;179860504;182187374;179860268;179860433;33798328;37897488;179860341;179860516;37606764;38386238;179860414;179860560;38487324;179860153;180344853;180189677;179860198;179860533;179860367;32568176;38386236;179860325;179860292;179860303;179860144;179860467;179860208;179860520;30045220;179860455;179860203;182166598;179860209;179860252;179860278;179860377;39095080;182703539;179860501;179860465;38689885;179860093;179860233;179860524;179860419;179860202;179860308;179860350;179860311;179860294;179860300;179860554;180361758;179860317;179860247;39095110;179860164;37981917;179860470;29989939;179860251;179860374;179860487;180196776;179860090;37803192;179860549;179860259;179860096;39797561;179860434;180193444;179826979;179860380;182182856;179860353;182171819;179860364;179860514;179860436;179860297;179860547;179860094;182176054;38814778;179860526;179860417;179860450;179860416;180347848;179860485;38184153;27568936;179860223;179860449;179860060;179860081;179860562;38285262;179860477;182166254;179860354;39095134;179860399;38302399;29519321;179860481;179860519;38383162;179860108;182169403;37880249;38487328;179860119;179860390;180345678;179860378;179860128;179860371;29439301;29439035;179860345;179860546;179860162;179860479;179860117;179860110;179860475;179952795;179860231;179860478;179860512;179860058;179860561;37576950;179860423;179860062;30018937;179860070;179860401;37880263;179860288;32869093;180157852;179860443;179860249;179860347;179860469;179860232;180208353;179860305;179860206;179860518;179860215;29535397;179860545;179860474;179860082;179860463;38993870;179860307;33387853;179860134;179860229;37678157;37472581;37779610;179860515;38808434;179860226;174505318;179860430;179860270;33552181;37779644;37978646;179860230;179860091;31910929;179860272;37678156;179860532;179860282;179860536;179860304;179860344;179860127;179860328;179860404;33169214;27470883;179860276;38790990;179860550;182166490;179860468;180376381;30000938;180196170;37675033;179860352;180183525;179860548;179860133;179860337;179860542;37475835;179860466;37992714;179860333;179860459;179860375;180252106;182186419;38082983;179860441;37880262;38285261;180191619;179860217;180183697;179860535;180226083;38302391;179860472;180371094;180251301;179860080;180252065;182155720;179860285;37981902;179860196;37678125;179860174;179860129;38689915;182175265;179860427;179855872;180207000;179860260;182173650;179860366;39167879;179860155;38802138;38487289;37802912;180196302;31561561;179860556;179860075;179860076;38487321;179860302;179860505;179860192;179860362;179860480;182154464;180225867;179860320;182168673;34348218;32764346;179860499;180188977;179860410;179860234;179860310;179860219;37779645;179860284;179860161;179860286;179860283;179860152;180364129;179860513;179860211;179860262;179860330;179860063;179860316;179860500;180192583;179860092;179860332;179860387;179860125;179860279;29475051;39118747;38487323;179860313;179860248;179860275;179860213;179860491;179860257;38892845;179860240;179860452;179860130;179860199;179860132;179860349;179860538;180213467;179860420;37981864;37780605;182175722;179860457;38993869;179860084;179860543;179860402;38719955;179860489;180183352;39181622;179860145;179860173;179860456;32868976;179860552;37897794;179860440;179860540;180352950;179860298;179860461;180209877;179860095;179860105;179860555;179860348;179860335;180357414;179860169;179860244;179860140;179860361;180206951;179860138;179860493;182169303;182170882;179860066;179860541;32814294;179860373;179860365;179860216;179860085;179860106;179860191;179860483;179860136;179860334;179860142;179860530;179860261;38790989;179860190;180339130;180233217;179860238;179860269;179860078;180147796;179860415;179860089;182175679;179860429;38889737;180341400;179860557;179860403;38588542;179860382;179860432;179860274;179860385;179860185;179860531;179860498;179860182;180361442;179860309;180202972;37475802;179860267;179860389;179860358;182171426;179860379;179860484;182185978;38802140;179860357;179860454;37576913;44596833;179860113;179860425;29988833;179860342;179860388;180158312;179860175;179860438;179860510;180225891;179860322;182175712;38517484;180356834;179860563;33551899;179860139;179860224;179960985;179860340;179860376;179860522;179860336;179860331;180202170;179860426;179860523;29471348;36121864;179860220;179860154;179860168;179860228;179860218;179860391;179860323;179860369;179860363;179860118;179860497;36440137;175139267;173746974;179860453;38880911;182154573;180202168;179860395;179860368;179860529;31397363;179860212;179860509;179860551;179860187;179860327;179860488;179860496;179860406;179860338;179860204;33441469;179860225;179860299;179860111;180225953;179860424;179860398;37981916;31370912;179860124;180189837;34071413;179860386;179860163;37573709;30011139;180350514;179860166;179860476;179860445;179860121;179960989;182152694;179860137;182186680;182187757;179860159;179860559;38892821;180201397;32650196;179860107;179860291;179860400;38397474;179860188;179860126;33848949;182185256;179860312;179860314;179860301;179860394;37475837;179860157;179860273;37779642;179860167;179860123;38184154;179860287;182155610;32895891;180211337;179860087;179860184;179860067;37492982;27365052;179860077;37981918;179860114;179860346;179860306;182151559;179860180
hormelfoods.com,True,hormelfoods.com,45.0,2088265;2088265;2088265;2088265;33971662;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;34099181;2088265;33044086;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265;2088265,12379181;12158032;12401963;38910456;174645582;12200183;6941350;1371768;1260568;1992667;99365;2364515;2470816;752498;12343909;601164;126178;1042230;1042229;38726434;174866488;1413669;173177777;12447651;2209019;1407817;23558868;1425336;569419;467710;936034;12208760;2787349;2734703;1043937;12401686;2372553;1404985;173277135;19977895;1886858;111771;1432581;2163453;12316392
hormelfoods.com,True,hormelfoods.com,1.0,11941857,36739834
sk.com,True,sk.com,1.0,11139463,19985180
sk.com,True,sk.com,11.0,36235987;18948201;32314124;14397909;6259408;17555986;30791348;27113360;37055585;38600616;32314124,24289694;25706904;31707311;26004855;24964050;31774967;42931634;38370157;38101178;181340287;39078926
imperialtrading.com,True,imperialtrading.com,5.0,465730;465730;1243844;465730;1516853,173151191;824574;1903938;1143294;1755123
imperialtrading.com,True,imperialtrading.com,1.0,11193284,19544019
imperialtrading.com,True,imperialtrading.com,1.0,14369884,29814847
ddecor.com,True,ddecor.com,8.0,23075292;17569192;14703298;17569192;27503840;21114870;23075294;12869859,33770967;27349245;27468456;180224977;38802028;30253121;32955145;27527835
mfa.gov.ua,True,mfa.gov.ua,1.0,6245467,917563
